y x hat B.1 B.2 B.3 B.4 B.5 B.6 B.7 B.8 B.9 B.10
-0.125216481190023 0.192192192192192 -0.0995311121763213 0.00415420890264245 -0.215022194330409 0.339416374964319 -0.228079501712876 0 0 0 0 0 0
-0.128729896390028 0.194194194194194 -0.100399200045922 0.00389309506730588 -0.213015602669689 0.344004796121179 -0.235281488564719 0 0 0 0 0 0
-0.132364858746678 0.196196196196196 -0.101398687773609 0.00364315867288521 -0.210970774481528 0.348562439473636 -0.242633511438604 0 0 0 0 0 0
-0.136123728927459 0.198198198198198 -0.102534483076758 0.0034041552128604 -0.208889219507946 0.353087698315971 -0.250137117097644 0 0 0 0 0 0
-0.140008848828712 0.2002002002002 -0.10381149367274 0.00317584018071142 -0.206772447490959 0.35757896594246 -0.257793852304954 0 0 0 0 0 0
-0.144022540521239 0.202202202202202 -0.105234627278929 0.00295796906991823 -0.204621968172587 0.362034635647385 -0.265605263823646 0 0 0 0 0 0
-0.148167105197435 0.204204204204204 -0.106808791612699 0.00275029737396079 -0.202439291294848 0.366453100725022 -0.273572898416835 0 0 0 0 0 0
-0.152444822120239 0.206206206206206 -0.108538894391423 0.00255258058631908 -0.200225926599759 0.370832754469651 -0.281698302847635 0 0 0 0 0 0
-0.15685794757423 0.208208208208208 -0.110429843332474 0.00236457420047305 -0.19798338382934 0.37517199017555 -0.28998302387916 0 0 0 0 0 0
-0.161408713819162 0.21021021021021 -0.112486546153226 0.00218603370990268 -0.195713172725607 0.379469201136998 -0.298428608274522 0 0 0 0 0 0
-0.166099328046251 0.212212212212212 -0.114713910571052 0.00201671460808792 -0.19341680303058 0.383722780648274 -0.307036602796837 0 0 0 0 0 0
-0.170931971337523 0.214214214214214 -0.117116844303326 0.00185637238850874 -0.191095784486276 0.387931122003657 -0.315808554209217 0 0 0 0 0 0
-0.175908797628531 0.216216216216216 -0.119700255067421 0.0017047625446451 -0.188751626834714 0.392092618497424 -0.324746009274778 0 0 0 0 0 0
-0.181031932674743 0.218218218218218 -0.122469050580709 0.00156164056997698 -0.186385839817912 0.396205663423855 -0.333850514756632 0 0 0 0 0 0
-0.186303473021921 0.22022022022022 -0.125428138560565 0.00142676195798433 -0.183999933177887 0.400268650077229 -0.343123617417893 0 0 0 0 0 0
-0.191725484980778 0.222222222222222 -0.128582426724363 0.00129988220214712 -0.181595416656659 0.404279971751824 -0.352566864021676 0 0 0 0 0 0
-0.197300003606243 0.224224224224224 -0.131936822789474 0.00118075679594531 -0.179173799996246 0.408238021741918 -0.362181801331094 0 0 0 0 0 0
-0.203029031681621 0.226226226226226 -0.135496234473273 0.00106914123285888 -0.176736592938665 0.412141193341792 -0.371969976109261 0 0 0 0 0 0
-0.208914538707961 0.228228228228228 -0.139265569493133 0.000964791006367773 -0.174285305225935 0.415987879845722 -0.38193293511929 0 0 0 0 0 0
-0.214958459898939 0.23023023023023 -0.143249735566428 0.000867461609951966 -0.171821446600073 0.419776474547988 -0.392072225124297 0 0 0 0 0 0
-0.221162695181556 0.232232232232232 -0.14745364041053 0.000776908537091425 -0.169346526803099 0.423505370742869 -0.402389392887393 0 0 0 0 0 0
-0.227529108202952 0.234234234234234 -0.151882191742813 0.000692887281266109 -0.166862055577031 0.427172961724643 -0.412885985171694 0 0 0 0 0 0
-0.23405952534365 0.236236236236236 -0.15654029728065 0.000615153335955986 -0.164369542663886 0.43077764078759 -0.423563548740313 0 0 0 0 0 0
-0.240755734737513 0.238238238238238 -0.161432864741416 0.000543462194641022 -0.161870497805682 0.434317801225986 -0.434423630356364 0 0 0 0 0 0
-0.247619485298729 0.24024024024024 -0.166564801842483 0.000477569350801178 -0.159366430744439 0.437791836334113 -0.44546777678296 0 0 0 0 0 0
-0.25465248575612 0.242242242242242 -0.171941016301224 0.000417230297916421 -0.156858851222173 0.441198139406247 -0.456697534783216 0 0 0 0 0 0
-0.261856403695066 0.244244244244244 -0.177566415835013 0.000362200529466716 -0.154349268980904 0.444535103736667 -0.468114451120246 0 0 0 0 0 0
-0.269232864607349 0.246246246246246 -0.183445908161224 0.000312235538932027 -0.15183919376265 0.447801122619654 -0.479720072557162 0 0 0 0 0 0
-0.276783450949208 0.248248248248248 -0.189584400997229 0.000267090819792319 -0.149330135309428 0.450994589349484 -0.49151594585708 0 0 0 0 0 0
-0.284509701207902 0.25025025025025 -0.195986802060403 0.000226521865527556 -0.146823603363256 0.454113897220437 -0.503503617783113 0 0 0 0 0 0
-0.292413108977068 0.252252252252252 -0.202658019068117 0.000190284169617705 -0.144321107666154 0.457157439526792 -0.515684635098374 0 0 0 0 0 0
-0.300495122041169 0.254254254254254 -0.209602959737746 0.000158133225542728 -0.14182415796014 0.460123609562826 -0.528060544565978 0 0 0 0 0 0
-0.308757141469321 0.256256256256256 -0.216826531786664 0.000129824526782591 -0.13933426398723 0.46301080062282 -0.540632892949038 0 0 0 0 0 0
-0.317200520718787 0.258258258258258 -0.224333642932242 0.000105113566817258 -0.136852935489444 0.465817406001051 -0.553403227010669 0 0 0 0 0 0
-0.325826564748418 0.26026026026026 -0.232129200891856 8.37558391266949e-05 -0.1343816822088 0.468541818991798 -0.566373093513984 0 0 0 0 0 0
-0.334636529142336 0.262262262262262 -0.240218113382878 6.55068371908662e-05 -0.131922013887316 0.47118243288934 -0.579544039222096 0 0 0 0 0 0
-0.34363161924413 0.264264264264264 -0.248605288122681 5.01220544897357e-05 -0.12947544026701 0.473737640987956 -0.59291761089812 0 0 0 0 0 0
-0.352812989301847 0.266266266266266 -0.25729563282864 3.73569845032688e-05 -0.1270434710899 0.476205836581924 -0.60649535530517 0 0 0 0 0 0
-0.362181741624064 0.268268268268268 -0.266294055218127 2.69671207114303e-05 -0.124627616098005 0.478585412965523 -0.620278819206359 0 0 0 0 0 0
-0.371738925747309 0.27027027027027 -0.275605463008515 1.87079565941847e-05 -0.122229385033342 0.480874763433031 -0.634269549364801 0 0 0 0 0 0
-0.381485537615102 0.272272272272272 -0.285234763917178 1.23349856314971e-05 -0.119850287637931 0.483072281278728 -0.64846909254361 0 0 0 0 0 0
-0.391422518768899 0.274274274274274 -0.29518686566149 7.60370130333171e-06 -0.117491833653788 0.485176359796892 -0.6628789955059 0 0 0 0 0 0
-0.401550755551193 0.276276276276276 -0.305466675958823 4.2695970896536e-06 -0.115155532822933 0.487185392281802 -0.677500805014784 0 0 0 0 0 0
-0.411871078321055 0.278278278278278 -0.316079102526553 2.08816647042744e-06 -0.112842894887383 0.489097772027736 -0.692336067833378 0 0 0 0 0 0
-0.42238426068236 0.28028028028028 -0.32702905308205 8.14902925617977e-07 -0.110555429589157 0.490911892328973 -0.707386330724793 0 0 0 0 0 0
-0.433091018724979 0.282282282282282 -0.338321435342689 2.05299935189942e-07 -0.108294646670273 0.492626146479791 -0.722653140452145 0 0 0 0 0 0
-0.443992010279181 0.284284284284284 -0.349961157025843 1.48509791080685e-08 -0.106062055872748 0.494238927774471 -0.738138043778546 0 0 0 0 0 0
-0.455087834183508 0.286286286286286 -0.361953085917052 0 -0.103859160231432 0.495748639727521 -0.753842563416373 -1.99676958056942e-09 0 0 0 0 0
-0.466379029566378 0.288288288288288 -0.374298610740827 0 -0.101686878418998 0.497154576291214 -0.769766126657418 -1.81955628029348e-07 0 0 0 0 0
-0.477866075141655 0.29029029029029 -0.386992990685181 0 -0.0995450995575433 0.49845760022351 -0.785904469005125 -1.02234602525128e-06 0 0 0 0 0
-0.48954938851846 0.292292292292292 -0.40003086100322 0 -0.0974336079696372 0.499658733973505 -0.802252950170154 -3.03683693584772e-06 0 0 0 0 0
-0.501429325525426 0.294294294294294 -0.413406856948049 0 -0.0953521879778483 0.500758999990295 -0.818806929863163 -6.73909733441985e-06 0 0 0 0 0
-0.513506179549688 0.296296296296296 -0.427115613772777 0 -0.0933006239047456 0.501759420722974 -0.835561767794811 -1.26427961955692e-05 0 0 0 0 0
